DATE-TIME	LANE	VOLUME (Veh/10sec)	VEL (MPH)	OCC %	%MID	%LARGE	SENSOR-TIME
9/25/06 12:38 AM	1	0	48	0	0	0	212449080
9/25/06 12:38 AM	1	1	48	9.3	0	100	212449090
9/25/06 12:38 AM	1	0	48	0	0	0	212449100
9/25/06 12:38 AM	1	2	49	17.6	0	100	212449110
9/25/06 12:38 AM	1	0	49	0	0	0	212449120
9/25/06 12:38 AM	1	0	49	0	0	0	212449130
9/25/06 12:39 AM	1	0	49	0	0	0	212449140
9/25/06 12:39 AM	1	2	51	11.4	50	50	212449150
9/25/06 12:39 AM	1	1	51	7.6	0	100	212449160
9/25/06 12:39 AM	1	0	51	0	0	0	212449170
9/25/06 12:39 AM	1	0	51	0	0	0	212449180
9/25/06 12:39 AM	1	2	52	3.5	0	0	212449190
9/25/06 12:40 AM	1	0	52	7.1	0	0	212449200
9/25/06 12:40 AM	1	1	54	3.3	0	100	212449210
9/25/06 12:40 AM	1	0	54	0	0	0	212449220
9/25/06 12:40 AM	1	0	54	0	0	0	212449230
9/25/06 12:40 AM	1	0	54	0	0	0	212449240
9/25/06 12:40 AM	1	0	54	0	0	0	212449250
9/25/06 12:41 AM	1	0	54	0	0	0	212449260
9/25/06 12:41 AM	1	0	54	0	0	0	212449270
9/25/06 12:41 AM	1	1	53	9.5	0	100	212449280
9/25/06 12:41 AM	1	1	53	9.3	0	100	212449290
9/25/06 12:41 AM	1	1	51	10.7	0	100	212449300
9/25/06 12:41 AM	1	0	51	9	0	0	212449310
9/25/06 12:42 AM	1	1	51	0.7	0	100	212449320
9/25/06 12:42 AM	1	1	51	9.3	0	100	212449330
9/25/06 12:42 AM	1	0	51	0	0	0	212449340
9/25/06 12:42 AM	1	3	53	13	33.3	33.3	212449350
9/25/06 12:42 AM	1	0	53	0	0	0	212449360
9/25/06 12:42 AM	1	0	53	0	0	0	212449370
9/25/06 12:43 AM	1	0	53	0	0	0	212449380
9/25/06 12:43 AM	1	0	53	0	0	0	212449390
9/25/06 12:43 AM	1	1	50	10.7	0	100	212449400
9/25/06 12:43 AM	1	0	50	0	0	0	212449410
9/25/06 12:43 AM	1	2	54	6.8	50	0	212449420
9/25/06 12:43 AM	1	0	54	0	0	0	212449430
9/25/06 12:44 AM	1	0	54	1.3	0	0	212449440
9/25/06 12:44 AM	1	1	52	1.9	100	0	212449450
9/25/06 12:44 AM	1	3	53	15	33.3	33.3	212449460
9/25/06 12:44 AM	1	0	53	0	0	0	212449470
9/25/06 12:44 AM	1	1	53	3.1	100	0	212449480
9/25/06 12:44 AM	1	0	53	0	0	0	212449490
9/25/06 12:45 AM	1	1	53	0.7	0	0	212449500
9/25/06 12:45 AM	1	0	53	3.6	0	0	212449510
9/25/06 12:45 AM	1	3	54	15.5	0	66.6	212449520
9/25/06 12:45 AM	1	0	54	0	0	0	212449530
9/25/06 12:45 AM	1	1	57	10.1	0	100	212449540
9/25/06 12:45 AM	1	0	57	0	0	0	212449550
9/25/06 12:46 AM	1	1	56	2.3	0	0	212449560
9/25/06 12:46 AM	1	0	56	0	0	0	212449570
9/25/06 12:46 AM	1	0	56	0	0	0	212449580
9/25/06 12:46 AM	1	0	56	0	0	0	212449590
9/25/06 12:46 AM	1	0	56	0	0	0	212449600
9/25/06 12:46 AM	1	0	56	0	0	0	212449610
9/25/06 12:47 AM	1	1	56	9.1	0	100	212449620
9/25/06 12:47 AM	1	0	56	0	0	0	212449630
9/25/06 12:47 AM	1	0	56	0	0	0	212449640
9/25/06 12:47 AM	1	0	56	0	0	0	212449650
9/25/06 12:47 AM	1	0	56	0	0	0	212449660
9/25/06 12:47 AM	1	0	56	0	0	0	212449670
9/25/06 12:48 AM	1	1	57	3.1	100	0	212449680
9/25/06 12:48 AM	1	0	57	0	0	0	212449690
9/25/06 12:48 AM	1	1	57	9.2	0	100	212449700
9/25/06 12:48 AM	1	0	57	0	0	0	212449710
9/25/06 12:48 AM	1	0	57	0	0	0	212449720
9/25/06 12:48 AM	1	1	61	2.6	100	0	212449730
9/25/06 12:49 AM	1	1	57	9.6	0	100	212449740
9/25/06 12:49 AM	1	0	57	0	0	0	212449750
9/25/06 12:49 AM	1	1	58	2.9	100	0	212449760
9/25/06 12:49 AM	1	0	58	0	0	0	212449770
9/25/06 12:49 AM	1	0	58	0	0	0	212449780
9/25/06 12:49 AM	1	1	58	8.5	0	100	212449790
9/25/06 12:50 AM	1	1	59	2.1	0	0	212449800
9/25/06 12:50 AM	1	0	59	0	0	0	212449810
9/25/06 12:50 AM	1	1	59	9.3	0	100	212449820
9/25/06 12:50 AM	1	0	59	0	0	0	212449830
9/25/06 12:50 AM	1	0	59	0	0	0	212449840
9/25/06 12:50 AM	1	0	59	0	0	0	212449850
9/25/06 12:51 AM	1	0	59	0	0	0	212449860
9/25/06 12:51 AM	1	0	59	0	0	0	212449870
9/25/06 12:51 AM	1	1	59	9.9	0	100	212449880
9/25/06 12:51 AM	1	1	59	9.1	0	100	212449890
9/25/06 12:51 AM	1	1	56	9.7	0	100	212449900
9/25/06 12:51 AM	1	0	56	0	0	0	212449910
9/25/06 12:52 AM	1	0	56	0	0	0	212449920
9/25/06 12:52 AM	1	2	57	10.4	0	50	212449930
9/25/06 12:52 AM	1	0	57	0	0	0	212449940
9/25/06 12:52 AM	1	1	53	10.2	0	100	212449950
9/25/06 12:52 AM	1	0	53	0	0	0	212449960
9/25/06 12:52 AM	1	0	53	0	0	0	212449970
9/25/06 12:53 AM	1	1	52	2.5	0	0	212449980
9/25/06 12:53 AM	1	2	54	11.8	50	50	212449990
9/25/06 12:53 AM	1	0	54	0	0	0	212450000
9/25/06 12:53 AM	1	1	53	8.6	0	100	212450010
9/25/06 12:53 AM	1	1	53	1.7	0	0	212450020
9/25/06 12:53 AM	1	0	53	0	0	0	212450030
9/25/06 12:54 AM	1	0	53	0	0	0	212450040
